2 
FINITE ELEMENT MODEL FOR SHOCKWAVE 
MODEL WITH 814 TRIANGULAR ELEMENTS AND 461 NODES 
NELEM     NPOIN    NBOUN     NITER     NSHOW	
814 461 106 3000 10 
 GAMMA	
1.400000e+00 
NODAL COORDINATES AND INITIAL CONDITIONS [  ]:
243 0.423067 1.573072 1.000000 1.000000 0.000000 0.978400 
244 0.182155 1.572173 1.000000 1.000000 0.000000 0.978400 
245 0.235621 1.395958 1.000000 1.000000 0.000000 0.978400 
246 0.194341 1.195859 1.000000 1.000000 0.000000 0.978400 
247 0.184202 1.010490 1.000000 1.000000 0.000000 0.978400 
248 0.176267 0.819524 1.000000 1.000000 0.000000 0.978400 
249 0.174088 0.621766 1.000000 1.000000 0.000000 0.978400 
250 0.181323 0.412528 1.000000 1.000000 0.000000 0.978400 
251 0.187512 0.199800 1.000000 1.000000 0.000000 0.978400 
252 0.391596 0.243326 1.000000 1.000000 0.000000 0.978400 
253 0.608494 0.200530 1.000000 1.000000 0.000000 0.978400 
254 0.799055 0.192424 1.000000 1.000000 0.000000 0.978400 
255 0.990166 0.187063 1.000000 1.000000 0.000000 0.978400 
256 1.184646 0.183140 1.000000 1.000000 0.000000 0.978400 
257 1.381744 0.176333 1.000000 1.000000 0.000000 0.978400 
258 1.553988 0.156318 1.000000 1.000000 0.000000 0.978400 
259 1.738990 0.209896 1.000000 1.000000 0.000000 0.978400 
260 1.934492 0.293094 1.000000 1.000000 0.000000 0.978400 
261 2.116627 0.351931 1.000000 1.000000 0.000000 0.978400 
262 2.298953 0.406485 1.000000 1.000000 0.000000 0.978400 
263 2.490677 0.474051 1.000000 1.000000 0.000000 0.978400 
264 2.668851 0.569071 1.000000 1.000000 0.000000 0.978400 
265 2.801349 0.699043 1.000000 1.000000 0.000000 0.978400 
266 3.004814 0.667648 1.000000 1.000000 0.000000 0.978400 
267 3.212158 0.637695 1.000000 1.000000 0.000000 0.978400 
268 3.422189 0.607027 1.000000 1.000000 0.000000 0.978400 
269 3.625025 0.577894 1.000000 1.000000 0.000000 0.978400 
270 3.815043 0.563902 1.000000 1.000000 0.000000 0.978400 
271 4.008768 0.573418 1.000000 1.000000 0.000000 0.978400 
272 4.210053 0.582017 1.000000 1.000000 0.000000 0.978400 
273 4.411744 0.584462 1.000000 1.000000 0.000000 0.978400 
274 4.611584 0.584463 1.000000 1.000000 0.000000 0.978400 
275 4.811422 0.584405 1.000000 1.000000 0.000000 0.978400 
276 5.011260 0.584287 1.000000 1.000000 0.000000 0.978400 
277 5.211097 0.584108 1.000000 1.000000 0.000000 0.978400 
278 5.410461 0.582301 1.000000 1.000000 0.000000 0.978400 
279 5.609350 0.578845 1.000000 1.000000 0.000000 0.978400 
280 5.808240 0.575280 1.000000 1.000000 0.000000 0.978400 
281 6.007128 0.571598 1.000000 1.000000 0.000000 0.978400 
282 6.206490 0.569357 1.000000 1.000000 0.000000 0.978400 
283 6.406327 0.568573 1.000000 1.000000 0.000000 0.978400 
284 6.606219 0.567210 1.000000 1.000000 0.000000 0.978400 
285 6.810020 0.565563 1.000000 1.000000 0.000000 0.978400 
286 7.018972 0.564978 1.000000 1.000000 0.000000 0.978400 
287 7.237792 0.570466 1.000000 1.000000 0.000000 0.978400 
288 7.457003 0.577361 1.000000 1.000000 0.000000 0.978400 
289 7.376338 0.784603 1.000000 1.000000 0.000000 0.978400 
290 7.409187 1.013267 1.000000 1.000000 0.000000 0.978400 
291 7.416304 1.221404 1.000000 1.000000 0.000000 0.978400 
292 7.409897 1.435359 1.000000 1.000000 0.000000 0.978400 
293 7.223072 1.513223 1.000000 1.000000 0.000000 0.978400 
294 7.079947 1.428079 1.000000 1.000000 0.000000 0.978400 
295 6.872420 1.473725 1.000000 1.000000 0.000000 0.978400 
296 6.657101 1.438421 1.000000 1.000000 0.000000 0.978400 
297 6.457469 1.411589 1.000000 1.000000 0.000000 0.978400 
298 6.251725 1.405213 1.000000 1.000000 0.000000 0.978400 
299 6.050079 1.403993 1.000000 1.000000 0.000000 0.978400 
300 5.850735 1.404768 1.000000 1.000000 0.000000 0.978400 
301 5.651866 1.407159 1.000000 1.000000 0.000000 0.978400 
302 5.452999 1.409605 1.000000 1.000000 0.000000 0.978400 
303 5.254132 1.412109 1.000000 1.000000 0.000000 0.978400 
304 5.054790 1.413130 1.000000 1.000000 0.000000 0.978400 
305 4.854972 1.412692 1.000000 1.000000 0.000000 0.978400 
306 4.655152 1.412364 1.000000 1.000000 0.000000 0.978400 
307 4.455331 1.412144 1.000000 1.000000 0.000000 0.978400 
308 4.255513 1.412034 1.000000 1.000000 0.000000 0.978400 
309 4.054535 1.411577 1.000000 1.000000 0.000000 0.978400 
310 3.852727 1.413505 1.000000 1.000000 0.000000 0.978400 
311 3.653197 1.417311 1.000000 1.000000 0.000000 0.978400 
312 3.455442 1.417107 1.000000 1.000000 0.000000 0.978400 
313 3.256776 1.415642 1.000000 1.000000 0.000000 0.978400 
314 3.057264 1.416800 1.000000 1.000000 0.000000 0.978400 
315 2.857595 1.418491 1.000000 1.000000 0.000000 0.978400 
316 2.657485 1.419576 1.000000 1.000000 0.000000 0.978400 
317 2.456651 1.419897 1.000000 1.000000 0.000000 0.978400 
318 2.255878 1.419595 1.000000 1.000000 0.000000 0.978400 
319 2.056032 1.419865 1.000000 1.000000 0.000000 0.978400 
320 1.856862 1.421954 1.000000 1.000000 0.000000 0.978400 
321 1.657624 1.424806 1.000000 1.000000 0.000000 0.978400 
322 1.457997 1.426917 1.000000 1.000000 0.000000 0.978400 
323 1.258186 1.428622 1.000000 1.000000 0.000000 0.978400 
324 1.058374 1.430466 1.000000 1.000000 0.000000 0.978400 
325 0.853104 1.429513 1.000000 1.000000 0.000000 0.978400 
326 0.639159 1.416020 1.000000 1.000000 0.000000 0.978400 
327 0.453595 1.382927 1.000000 1.000000 0.000000 0.978400 
328 0.370892 1.267751 1.000000 1.000000 0.000000 0.978400 
329 0.374115 1.107655 1.000000 1.000000 0.000000 0.978400 
330 0.354566 0.915787 1.000000 1.000000 0.000000 0.978400 
331 0.347925 0.716890 1.000000 1.000000 0.000000 0.978400 
332 0.352097 0.498578 1.000000 1.000000 0.000000 0.978400 
333 0.506900 0.388086 1.000000 1.000000 0.000000 0.978400 
334 0.671697 0.390116 1.000000 1.000000 0.000000 0.978400 
335 0.863183 0.376310 1.000000 1.000000 0.000000 0.978400 
336 1.057389 0.368217 1.000000 1.000000 0.000000 0.978400 
337 1.261257 0.360215 1.000000 1.000000 0.000000 0.978400 
338 1.498873 0.343246 1.000000 1.000000 0.000000 0.978400 
339 1.710579 0.414227 1.000000 1.000000 0.000000 0.978400 
340 1.897821 0.486315 1.000000 1.000000 0.000000 0.978400 
341 2.088157 0.556097 1.000000 1.000000 0.000000 0.978400 
342 2.286656 0.616600 1.000000 1.000000 0.000000 0.978400 
343 2.478506 0.672842 1.000000 1.000000 0.000000 0.978400 
344 2.630791 0.728425 1.000000 1.000000 0.000000 0.978400 
345 2.697304 0.868891 1.000000 1.000000 0.000000 0.978400 
346 2.895959 0.860425 1.000000 1.000000 0.000000 0.978400 
347 3.098287 0.842363 1.000000 1.000000 0.000000 0.978400 
348 3.304726 0.824438 1.000000 1.000000 0.000000 0.978400 
349 3.534453 0.811009 1.000000 1.000000 0.000000 0.978400 
350 3.713065 0.716411 1.000000 1.000000 0.000000 0.978400 
351 3.877796 0.753153 1.000000 1.000000 0.000000 0.978400 
352 4.080010 0.780954 1.000000 1.000000 0.000000 0.978400 
353 4.287280 0.788124 1.000000 1.000000 0.000000 0.978400 
354 4.489951 0.789950 1.000000 1.000000 0.000000 0.978400 
355 4.689951 0.790007 1.000000 1.000000 0.000000 0.978400 
356 4.889950 0.790049 1.000000 1.000000 0.000000 0.978400 
357 5.089950 0.790076 1.000000 1.000000 0.000000 0.978400 
358 5.289474 0.788521 1.000000 1.000000 0.000000 0.978400 
359 5.488524 0.785358 1.000000 1.000000 0.000000 0.978400 
360 5.686150 0.777431 1.000000 1.000000 0.000000 0.978400 
361 5.883776 0.769363 1.000000 1.000000 0.000000 0.978400 
362 6.082825 0.765837 1.000000 1.000000 0.000000 0.978400 
363 6.282349 0.763775 1.000000 1.000000 0.000000 0.978400 
364 6.483408 0.762141 1.000000 1.000000 0.000000 0.978400 
365 6.688832 0.758858 1.000000 1.000000 0.000000 0.978400 
366 6.900747 0.757231 1.000000 1.000000 0.000000 0.978400 
367 7.125156 0.754576 1.000000 1.000000 0.000000 0.978400 
368 7.226388 0.916658 1.000000 1.000000 0.000000 0.978400 
369 7.219616 1.102289 1.000000 1.000000 0.000000 0.978400 
